,X,id,text,coder1.Sentiment....1.negative..0.neutral..1.positive.,coder1.Political...0.no..1.yes.,coder1.Ideology....1.liberal..0.neutral..1.conservative.,coder1.Immigration,coder1.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.,coder1.National.Security..Veterans..Military..Foreign.Terrorism.,coder1.Crime...Law.Enforcement..Police..Guns..Second.Amendment.,coder1.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.,coder1.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.,coder1.Education,coder1.Health.Care..Obamacare.,coder1.Governance,coder1.No.Policy.Content,coder1.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign,coder1.Asks.you.to.watch.something.share.something.follow.something,coder1.Misc..other.plea.for.action,coder1.Makes.a.Factual.or.Verifiable.Claim,coder1.Expresses.an.Opinion,coder1.coder,coder2.Sentiment....1.negative..0.neutral..1.positive.,coder2.Political...0.no..1.yes.,coder2.Ideology....1.liberal..0.neutral..1.conservative.,coder2.Immigration,coder2.Macroeconomic.Policy...Taxes..Gov..Spending..Wall.St...Jobs..Trade..Infrastructure..Labor.,coder2.National.Security..Veterans..Military..Foreign.Terrorism.,coder2.Crime...Law.Enforcement..Police..Guns..Second.Amendment.,coder2.Civil.Rights..Race..LGBT.issues..Abortion..Gender.issues.,coder2.Environment...Energy..Global.warming..Fracking..Agriculture..Oil.,coder2.Education,coder2.Health.Care..Obamacare.,coder2.Governance,coder2.No.Policy.Content,coder2.Asks.for.Donation.Asks.you.to.buy.something.to.support.campaign,coder2.Asks.you.to.watch.something.share.something.follow.something,coder2.Misc..other.plea.for.action,coder2.Makes.a.Factual.or.Verifiable.Claim,coder2.Expresses.an.Opinion,coder2.coder,src
79,4116,6.67E+17,"Our service men and women deserve the best resources available &amp; as President, I'll make sure that they receive the treatment they deserve.",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,brittany,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,lauryn,brittanylauryn
80,4185,6.92E+17,"RT @MariaBartiromo: Happening now: happy Wednesday. Join us @MorningsMaria @FoxBusiness @tedcruz 8am ET, @newtgingrich @LELDF @RepPeteKing",1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,lauryn,brittanylauryn
81,4228,6.42E+17,"The VA has a rotten core. 

Click here if you agree--&gt; http://t.co/F1MzCdwseJ http://t.co/aJTvpawzqJ",-1,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,brittany,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,lauryn,brittanylauryn
82,4273,7.06E+17,RT @iamrobertway: Sen. Graham with the owners of SubZero. #FITN #nhpolitics @BostonGlobe http://t.co/Pl7c79k8rx,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
83,4282,6.05E+17,"Boycott @Macys, no guts, no glory. Besides, there are far better stores!",-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,brittany,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,lauryn,brittanylauryn
84,4351,7.40E+17,RT @TalleySergent: Our thoughts and sympathies are with those impacted by #WestVirginia flooding. Please stay safe. https://t.co/9gDfW3zkJv,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,lauryn,brittanylauryn
85,4368,6.13E+17,"RT @FoxBusiness: .@ChrisChristie: ""I'm ready [to be president], Senator Rubio is not."" https://t.co/SAiPhPLn87",-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
86,4409,6.31E+17,New docs show Bush/Cheney ignored 4th Amend. &amp; Justice Dept on wiretapping. Probably still think they're right. http://t.co/qYCmqySl33,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,brittany,-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
87,4500,5.87E+17,RT @Ann_OLeary: .@HillaryClinton's environmental justice fight will extend to Puerto Rico. Powerful tour of flooded @CanoMartinPena https:/,1,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,brittany,1,1,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,lauryn,brittanylauryn
88,4576,6.32E+17,RT @resurgent: Brand New Ted Cruz Ad https://t.co/ZIaWvM2GeB https://t.co/Pe2RRiCHKF,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
89,4635,6.26E+17,"""Id be for the most right, viable candidate who could win."" -William F. Buckley

#Hannity https://t.co/bZjnLpPGQY",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
90,4647,5.93E+17,"RT @PhilippeDesra: .@gov_gilmore at sunshine summit right now, not a bad speech.",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,lauryn,brittanylauryn
91,4662,6.95E+17,"What jobs can't Christians have anymore?!?
https://t.co/yAZqypqEto",-1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,brittany,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,lauryn,brittanylauryn
92,4715,6.92E+17,"""@FoxNews: .@Rub: @jorgeramosnews should've disclosed his daughter works for HillaryClinton &amp; Univision is being sued by @realDonaldTrump.""",-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,brittany,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,lauryn,brittanylauryn
93,4737,6.50E+17,"LIVE from Manchester, NH on @greta tune into @FoxNews now! #FITN http://t.co/dkaUNmZ6Mb",1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,brittany,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,lauryn,brittanylauryn
94,4744,6.17E+17,"We owe it to our vets to provide access to the best education, health care, &amp; job training servicesto go above &amp; beyond for their futures.",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,brittany,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,lauryn,brittanylauryn
95,4825,6.35E+17,"RT @hillarysusans: ""Build a new NATO in the middle East"" @gov_gilmore",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,brittany,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,lauryn,brittanylauryn
96,4868,6.64E+17,"""@ConnieHegel: @realDonaldTrump if trump is not on that stage no one will watch""  So true!",-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,brittany,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,lauryn,brittanylauryn
97,4906,6.07E+17,RT if you agree with Hillary on women. http://t.co/1Cgogzw9l4,1,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,brittany,1,1,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,lauryn,brittanylauryn
98,4917,7.18E+17,"Four boys shot my son dead on Christmas Eve."" A moment backstage with a mom who lost her son to gun violence.
https://t.co/rrfV3gfRIG",-1,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,brittany,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,lauryn,brittanylauryn
99,4933,6.86E+17,"I want children to know that if they study hard, no matter what the income of their families, they will be able to get a college education.",1,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,brittany,1,1,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,lauryn,brittanylauryn
100,4950,6.78E+17,RT @TeamMarco: Some of you should have received your Day One Supporter gear by now. Send us some pics. Here's one... http://t.co/UDuZsSYvUD,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,brittany,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,lauryn,brittanylauryn
101,563,676587854307320064,We need a new approach to trade in this country  one that benefits working families and not just the CEOs of multinational corporations.,-1,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,christian,-1,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,stan,christianchristian
102,605,696552091037208960,Want to help design our next bumper sticker? Follow the link to join! https://t.co/3a5CzwQ71A https://t.co/IEElU6FSH6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,christian,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,stan,christianchristian
103,613,6.37702E+17,RT @CR: BIG HAUL Cruz Raises $1.5 Million After Super Saturday https://t.co/GA6gqEaQfY. https://t.co/9OBxzHvSVj,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,stan,christianchristian
104,624,623490143547224064,RT @DrakeUniversity: Drake Law alum @TerryBranstad introduces @ChrisChristie during student-hosted event at Drake Law School. #iacaucus htt,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,stan,christianchristian
105,628,644854791873659008,"So, since the people at the @nytimes have made all bad decisions over the last decade, why do people care what they write. Incompetent!",-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,stan,christianchristian
106,658,641259723312902016,"RT @weeklystandard: Wisconsin Poll: @TedCruz 36, @realDonaldTrump 31, @JohnKasich 21 https://t.co/q6ALJmUt9P https://t.co/fUZWDwEwP6",0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,stan,christianchristian
107,765,642322660085636992,I'd also ask @hillaryclinton why she doesn't believe that shed be accountable for her conduct https://t.co/2r9qErPW7S #AnswerTheQuestion,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,stan,christianchristian
108,792,687775298159510016,I'm about to join @FoxNews live from New Hampshire. Tune in! http://t.co/CSVPpgjh8r,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,christian,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,stan,christianchristian
109,793,698967651717090944,"If you couldn't make it to the Fort Worth is #CruzCountry Rally, watch it here: http://t.co/J2j4hmL6y4",1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,christian,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,stan,christianchristian
110,842,597510840967913984,Tailgatingwith UNH Wildcats and University of Richmond @spiderfootball fans here in @UNHwildcats. Great to be here! https://t.co/3QmpzVPhdD,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,stan,christianchristian
111,847,633823109053841024,Thanks for the great pic! Hard working people from all walks of life are striving to #HealInspireRevive our nation. https://t.co/s0MVn1HXWe,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,stan,christianchristian
112,870,687105848699661952,We had great crowds all day today in New Hampshire! Thanks to everyone who came out to show your support. https://t.co/PQNGcOY0n3 #fitn,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,stan,christianchristian
113,874,657298874869096960,Wonderful meeting with many prominent leaders of the Asian American and Pacific Islander community in Illinois. https://t.co/3jPwYE39a0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,stan,christianchristian
114,983,696173044746748032,"When we talk about the Flint water crisis, we also have to talk about its root causeseconomic, racial, and other. #DemDebate",-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,-1,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,stan,christianchristian
115,1020,697196943169163008,"Today, Senate Republicans failed to ban abortions after 20-weeks. Send them a message, no more excuses:  https://t.co/pWHPso4zac",-1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,christian,-1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,stan,christianchristian
116,1099,596032373185097984,ICYMI: Today I appeared on The Real Story with @GretchenCarlson - https://t.co/qSb6vmXC5G,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,stan,christianchristian
117,1135,710146958715953024,"RT @whitjones: The real power behind #Bernie2016 isn't the little man on the stage, it's the thousands of people uniting around him http://",1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,stan,christianchristian
118,1189,629080710335238016,Show your support on the road and order an official bumper sticker today! Click here --&gt; http://t.co/rBriydApmk,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,christian,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,stan,christianchristian
119,1212,678665474125639936,"""We can't just have a blank check. We get weaker as the nation goes further into debt."" Fort Dodge, Iowa Q&amp;A https://t.co/WT0ihk4wu7",-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,christian,-1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,stan,christianchristian
120,1219,617453512922910976,"RT @marcfox10: re: ISIS - ""I'm a peaceful person - but it doesn't make any sense to sit around and let somebody wipe you out."" @RealBenCars",-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,christian,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,stan,christianchristian
121,1400,633340828400919040,New Hampshire -- help us #CruzToVictory. Find your polling place now: https://t.co/fYEPCeMutM #fitn #nhpolitics https://t.co/GB4jaJEuGP,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,christian,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,stan,christianchristian
122,1413,654845706352525056,Thanks to our amazing volunteers for braving the cold to reach voters for @JohnKasich in New Hampshire! #nhpolitics https://t.co/v1VHhHXCqr,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,stan,christianchristian
123,1455,589427158457709056,"RT @Guntalk: On GT Radio today, Alan Gura endorses Ted Cruz.  Says he'll expend political capital, if necessary, to protect the Second Amen",1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,christian,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,stan,christianchristian
124,1464,632167328671657984,"RT @FoxNews: .@tedcruz on Clinton winning IA by coin flip: ""This is not the 1st political issue the Democrats have solved by just throwing",-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,stan,christianchristian
125,1634,609787890646695936,I'll be on at 10:35pm ET to @AlanColmes radio show tonight for SOTU wrap up - https://t.co/ekP001yWPi,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,stan,christianchristian
126,1642,694195575919656960,The people are ready. The event kicks off at 11a EST. Watch live at http://t.co/dy8KnZ122T #Kasich4Us http://t.co/CWaX8YTEvQ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,stan,christianchristian
127,1646,6.54026E+17,$10 will make an impact. Help me reach 50 voters with my new ad: https://t.co/VcXfTw0MWv http://t.co/NPFe9M141P,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,christian,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,stan,christianchristian
128,1650,706956128429548032,RT @jflacktally: @JimWebbUSA made great impression in Iowa tonight.  An adult/serious about the business of protecting this Country.  Take,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,christian,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,stan,christianchristian
129,1655,706651301971677056,Speaking to the crowd that came out to stand with me this morning in Frankfort. http://t.co/01ekgQScJ0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,stan,christianchristian
130,1671,646475429725933952,"""@dpdax @realDonaldTrump Thanks for standing for Vets Take care of those that give so much""",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,stan,christianchristian
131,1732,715907761926749952,"RT @ABC: Huckabee: ""I believe the next president ought to declare a war on cancer, heart disease, diabetes, and Alzheimer's."" http://t.co/5",-1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,christian,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,stan,christianchristian
132,1751,601190366272950016,I urged voters not to give up liberty for security at my Town Hall in Nashua on Wednesday! #StandwithRand in NH http://t.co/EEAaNggAlG,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,christian,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,stan,christianchristian
133,1923,642376064497491968,"RT @FoxNews: .@RealBenCarson on ISIS: ""We need to recognize that it is really an existential threat to our nation...the war is against all",-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,christian,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,stan,christianchristian
134,2037,696901711135265024,"Its still a long shot, but it looks like we have a chance to reach our goal. Contribute before our deadline: https://t.co/FOWcmGliHo",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,christian,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,stan,christianchristian
135,2049,693555411878829952,America. https://t.co/TeduJkwQF3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,stan,christianchristian
136,2082,670647693677634048,I can't defeat the Washington Machine without you. (6/7) https://t.co/HI1gL7Tvki,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,christian,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,stan,christianchristian
137,2112,699651315262231040,"As Democrats, it is time to stand up for our values &amp; call for the expansion Social Security for all beneficiaries. https://t.co/A2AKuWMamW",-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,1,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,stan,christianchristian
138,2169,634877707470302976,"I ask you to join me in this campaign to build a future that works for all of us, and not just the few on top. https://t.co/keIzoR3r5T",1,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,christian,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,stan,christianchristian
139,2232,672883451356429952,"At #GOPDebate, I won over our largest audience yet. Can you chip in $3 to help us keep it up?https://t.co/nzYnC1JRxS https://t.co/nBVKSjo0Dw",1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,christian,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,stan,christianchristian
140,2236,692911934077812992,.@SenJohnMcCain: This is a time of crisis in the world and @LindseyGrahamSC is the leader we need.,-1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,stan,christianchristian
141,2242,628370512444461056,RT @Entrepreneur: Kasich hitting key entrepreneur/biz points. Tax cuts lead to job creation. #GOPDebate,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,christian,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,stan,christianchristian
142,2251,622256030815268992,RT @dougstafford: Turns out Rand Pauls dead candidacy isnt so dead after all | Rare https://t.co/yBRo8NruQe,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,stan,christianchristian
143,2256,650075459321859968,RT @PaulSavoca: @RandPaul been watching since I got home from school today #StandWithRand http://t.co/L4twIix72h,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,stan,christianchristian
144,2307,632267851848633984,Heading to Phoneix. Will be arriving soon. Tomorrow a big day. Tremendous crowds expected! #Trump2016 #MakeAmericaGreatAgain,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,stan,christianchristian
145,2353,635098022393868032,Over 40 admirals &amp; generals and 12 Medal of Honor recipients have endorsed me for Commander-in-Chief. Read why: https://t.co/7vAzYzGjcY,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,stan,christianchristian
146,2359,715656642138866048,BEHIND THE SCENES: Governor Walker hanging out at the Reagan Ranch prepping for tonight's #GOPdebate #Walker16 http://t.co/AePMDwDxdT,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,stan,christianchristian
147,2365,644249673746641024,"RT @LaurenScala4NY: Billy Joel just dedicated tonight's performance of ""New York State of Mind"" to Ted Cruz.  #TheGarden https://t.co/RV4W",1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,stan,christianchristian
148,2462,696030020372930944,"RT @VoteMeadows: Congressman Mark Meadows takes the stage in Aiken, SC to kick off the @tedcruz rally! #SCPrimary #CruzCrew https://t.co/g0",1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,stan,christianchristian
149,2502,726564124671373056,RT @WLKY: #VotersFirst: @LindseyGrahamSC on what he thinks might unite #Republicans. http://t.co/LZ6MFBHuNP http://t.co/P3PhEe3MCw,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,stan,christianchristian
150,2508,663084073691255040,RT @StacyJacobsonTV: In the battle of supporters outside @NChasColiseum - @RandPaul vs @marcorubio https://t.co/DtjWlrn4Lj,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,christian,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,stan,christianchristian
151,2532,672874484093832960,"RT @BreitbartXM: .@GovernorPataki absolutely slams Obama's #IranDeal: It's outrageous and a clear threat to the USA, and Congress must reje",-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,christian,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,stan,christianchristian
152,2564,618217810968317952,"We can live in a nation where every person, no matter their sexual orientation, realizes the promise of equality. https://t.co/MjCXeFSkTa",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,christian,1,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,stan,christianchristian
153,2721,699706718419345024,RT @HillaryforNH: Thank you to all of the volunteers and supporters at the Gorham #4thofJuly Parade with #HillaryInNH http://t.co/vrZaEppCmo,1,0,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,stan,christianchristian
154,2727,664279506459299968,President Obama has demonstrated a consistent disregard for Israel. America must stand with our friend and ally: https://t.co/EJxnQJaYyZ,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,christian,-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,stan,christianchristian
155,2739,614840895825965056,RT @omalleyforia: JOIN @MartinOMalley at the JJ Dinner this Saturday! CLICK HERE FOR TICKETS: https://t.co/TS9Rx1ntvJ #IACaucus https://t.c,1,0,-1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,christian,1,1,-1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,stan,christianchristian
156,2770,632533282488516992,"Look real hardyou still won't find anyone supporting equal pay, paid leave, or reproductive rights at #GOPdebate. https://t.co/ZDZkJVaYi6",-1,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,christian,-1,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,stan,christianchristian
157,2817,654083708962631936,I fear fear itself. The last time the @GOP was this scared of Muslims we invaded Iraq. Hawks must stop squawking  http://t.co/pOVNm8wm1h,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,christian,-1,1,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,stan,christianchristian
158,2826,719013443710221952,RT @Melissa_Joy14: Bedford is #allinforJEB #cleareyesfullhearts https://t.co/nnpdjCc7kl,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,christian,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,stan,christianchristian
159,2931,687038936015875968,That's why we need a physician to bring a different mentality and solve problems.,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,christian,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,stan,christianchristian
160,2935,639498040596759040,"RT @KevinBarryCBS2: This week on Iowa In Focus, why @RandPaul says the ""haystack is too large"" regarding data collection and terrorism. htt",-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,christian,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,stan,christianchristian
161,2961,657185443033796992,"""@007lLisav: @CNN @realDonaldTrump @CNNPolitics can't wait for his insightful &amp; intelligent tweets."" You sound like a very smart person!",-1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,christian,-1,1,-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,stan,christianchristian
162,2976,677879595979293056,We're going to move to public funding of elections so candidates don't have to beg the wealthy and powerful for money when they want to run.,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,christian,-1,1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,stan,christianchristian
163,2989,664911938212594048,"This morning on @Morning_Joe, I talked about how Trumps proposals would be damaging to our national security. https://t.co/vDLZ7usajz",-1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,christian,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,stan,christianchristian
